id	title	tags	category	file
i3jp4UuwcOY	Mobius Loop / Discovery-Delivery Loop" with Carsten Lützen	mobius-loop,discovery-delivery-loop,dual-track-agile,product-discovery,product-delivery,prototyping,feedback-loops	Agile & Product	videos/carsten-lutzen/CL_107_mobius-loop-discovery-delivery-loop-with-carsten-lützen.md
jjqWeovoCqU	\"Dual Track Development\" with Carsten Lützen	dual-track-development,dual-track-agile,product-discovery,prototyping,iterative-development,scrum,agile	Agile & Product	videos/carsten-lutzen/CL_108_dual-track-development-with-carsten-lützen.md
_l2ESVVNYg4	\"Ladder of Inference\" with Carsten Lützen	ladder-of-inference,mental-model,critical-thinking,assumptions,data-interpretation,conclusions,beliefs	Concept	videos/carsten-lutzen/CL_109_ladder-of-inference-with-carsten-lützen.md
l-0H6D3YY1E	\"Tall Plank Game\" with Carsten Lützen	energizer,physical-activity,icebreaker,tall-plank-game,warm-up,in-person,pairs	Energizer	videos/carsten-lutzen/CL_110_tall-plank-game-with-carsten-lützen.md
FOn7pL4ns1c	Instigator" with Carsten Lützen	energizer,icebreaker,movement,group-game,physical-activity,detective,circle-game	Energizer	videos/carsten-lutzen/CL_111_instigator-with-carsten-lützen.md
o5r6vFbAXyA	Soft Shoe Shuffle" with Carsten Lützen	soft-shoe-shuffle,group-discussion,brainstorming,physical-voting,open-space,spectrum-exercise,facilitation	Facilitation Method	videos/carsten-lutzen/CL_112_soft-shoe-shuffle-with-carsten-lützen.md
2O3La79zJxY	Christmas Cards - Part 2	appreciation,recognition,team-culture,year-end,gratitude,handwritten,personal-gesture	Personal	videos/carsten-lutzen/CL_113_christmas-cards-part-2-with-carsten-lützen.md
_dEowbFFryw	\"My Board\" with Carsten Lützen	personal-kanban,task-management,time-horizons,planning,agile-coaching,focus,productivity	Agile & Product	videos/carsten-lutzen/CL_114_my-board-with-carsten-lützen.md
RhuAXrC1Pyc	The 7 mins Brain Box - Episode 1	visual-facilitation,sketchnoting,constraints,creativity,coaching-conversation,visualization,async-collaboration	Facilitator Craft	videos/carsten-lutzen/CL_115_the-7-mins-brain-box-episode-1.md
MbuHHZOXI7M	\"Random Access Memory (RAM)\" with Carsten Lützen	random-access-memory,ram,liberating-structures,debrief,retrospective,reflection,workshop-design	Retro Format	videos/carsten-lutzen/CL_116_random-access-memory-ram-with-carsten-lützen.md
Wblb764PhVY	\"Shimmy Shimmy Sho\" with Carsten Lützen	energizer,improv,warm-up,movement,circle-game,silly,engagement	Energizer	videos/carsten-lutzen/CL_117_shimmy-shimmy-sho-with-carsten-lützen.md
olKxIFRLm_c	\"To Estimate or not to Estimate\" with Carsten Lützen	estimation,no-estimates,velocity,planning,control-chart,flow-metrics,lead-time	Agile & Product	videos/carsten-lutzen/CL_118_to-estimate-or-not-to-estimate-with-carsten-lützen.md
p10AyhHI2Ao	\"IKEA or Cheese\" with Carsten Lützen	energizer,icebreaker,quiz,ikea-or-cheese,team-energizer,fun,low-prep	Energizer	videos/carsten-lutzen/CL_119_ikea-or-cheese-with-carsten-lützen.md
TpU1IkEewbc	\"Anxiety Circus\" with Carsten Lützen	anxiety-circus,25-10-crowdsourcing,liberating-structures,retrospective,facilitation,fear-mapping,workshop-design	Retro Format	videos/carsten-lutzen/CL_120_anxiety-circus-with-carsten-lützen.md
QeZZr0n__Ps	\"Future Perfect\" with Carsten Lützen	future-perfect,solution-focused,coaching,one-on-one,miracle-question,agile-coaching,scrum-master	Coaching Technique	videos/carsten-lutzen/CL_121_future-perfect-with-carsten-lützen.md
9mComXIypPE	\"Coping Questions\" with Carsten Lützen	coping-questions,solution-focus,coaching,solution-focused-coaching,inner-resources,one-on-one,questions	Coaching Technique	videos/carsten-lutzen/CL_122_coping-questions-with-carsten-lützen.md
w4Dmw8uQgZc	\"3 Gaps\" with Carsten Lützen	three-gaps,effects-gap,knowledge-gap,alignment-gap,sprint-goals,solution-focused,assumptions	Agile & Product	videos/carsten-lutzen/CL_123_3-gaps-with-carsten-lützen.md
rEbywrs6Ssg	\"Late Cake\" with Carsten Lützen	late-cake,accountability,team-agreements,punctuality,psychological-safety,fun,transparency	Facilitation Method	videos/carsten-lutzen/CL_124_late-cake-with-carsten-lützen.md
4oNy9Yogk8k	\"What Should I..\" with Carsten Lützen	energizer,check-in,positive-priming,icebreaker,small-group,workshop-opening,team-introduction	Energizer	videos/carsten-lutzen/CL_125_what-should-i-with-carsten-lützen.md
LXJAwsLzCRY	\"Exception Questions\" with Carsten Lützen	exception-questions,solution-focused,coaching,agile-coaching,sprint-goals,reframing,questions	Coaching Technique	videos/carsten-lutzen/CL_126_exception-questions-with-carsten-lützen.md
jDQTJoA6p5w	Minimal Viable Product" with Carsten Lützen	mvp,minimum-viable-product,product-development,agile,iterative-development,prototyping,prioritization	Agile & Product	videos/carsten-lutzen/CL_127_minimal-viable-product-with-carsten-lützen.md
8ODEZn6TtV4	\"Gallery Walk\" with Carsten Lützen	gallery-walk,facilitation,sensemaking,retrospective,workshop-design,silent-reflection,debrief	Facilitation Method	videos/carsten-lutzen/CL_128_gallery-walk-with-carsten-lützen.md
DYm4-5VXBQ0	\"FOCUS\" with Carsten Lützen	sprint-goal,focus-mnemonic,scrum,sprint-planning,outcome-oriented,agile,sprint-name	Agile & Product	videos/carsten-lutzen/CL_129_focus-with-carsten-lützen.md
9qBofOBF7mE	\"Elevenie\" with Carsten Lützen	elevenie,poetry,retrospective,creative-exercise,team-reflection,sprint-review,gratitude	Retro Format	videos/carsten-lutzen/CL_130_elevenie-with-carsten-lützen.md
8M1dTkbx9os	\"5 Year Anniversary\" with Carsten Lützen	anniversary,reflection,community,liberating-structures,conferences,personal-journey,agile-coaching	Personal	videos/carsten-lutzen/CL_131_5-year-anniversary-with-carsten-lützen.md
